original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,label,degree
Is what industry was attracted to Jacksonville in the early nineteenth century,Is what industry was produced no attracted to Jacksonville in the early nineteenth century,"['Is', 'what', 'industry', 'was', 'produced', 'no', 'attracted', 'to', 'Jacksonville', 'in', 'the', 'early', 'nineteenth', 'century']","['Is', 'what', 'industry', 'was', 'attracted', 'to', 'Jacksonville', 'in', 'the', 'early', 'nineteenth', 'century']",Is what industry was attract wait a minute attracted to Jacksonville in the early nineteenth century,"['Is', 'what', 'industry', 'was', 'attracted', 'to', 'Jacksonville', 'in', 'the', 'early', 'nineteenth', 'century']","['Is', 'what', 'industry', 'was', 'attract', 'wait', 'a', 'minute', 'attracted', 'to', 'Jacksonville', 'in', 'the', 'early', 'nineteenth', 'century']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
How are the statocysts spaced,How are the statocysts split up no I mean spaced,"['How', 'are', 'the', 'statocysts', 'split', 'up', 'no', 'I', 'mean', 'spaced']","['How', 'are', 'the', 'statocysts', 'spaced']",How are the statocysts middle wait a minute the statocysts spaced,"['How', 'are', 'the', 'statocysts', 'spaced']","['How', 'are', 'the', 'statocysts', 'middle', 'wait', 'a', 'minute', 'the', 'statocysts', 'spaced']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,2,N/A
What evolved in later vertebrates,What is er  what evolved in later vertebrates,"['What', 'is', 'er', 'what', 'evolved', 'in', 'later', 'vertebrates']","['What', 'evolved', 'in', 'later', 'vertebrates']",What specialise wait What evolved in later vertebrates,"['What', 'evolved', 'in', 'later', 'vertebrates']","['What', 'specialise', 'wait', 'What', 'evolved', 'in', 'later', 'vertebrates']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
In which decade did the university begin several thousand dollar expansion projects,In which decade did the business  rather university begin several thousand dollar expansion projects,"['In', 'which', 'decade', 'did', 'the', 'business', 'rather', 'university', 'begin', 'several', 'thousand', 'dollar', 'expansion', 'projects']","['In', 'which', 'decade', 'did', 'the', 'university', 'begin', 'several', 'thousand', 'dollar', 'expansion', 'projects']",In which decade do I am sorry did the university begin several thousand dollar expansion projects,"['In', 'which', 'decade', 'did', 'the', 'university', 'begin', 'several', 'thousand', 'dollar', 'expansion', 'projects']","['In', 'which', 'decade', 'do', 'I', 'am', 'sorry', 'did', 'the', 'university', 'begin', 'several', 'thousand', 'dollar', 'expansion', 'projects']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Who does a gender pay gap tend to favor,How does no who does a gender pay gap tend to favor,"['How', 'does', 'no', 'who', 'does', 'a', 'gender', 'pay', 'gap', 'tend', 'to', 'favor']","['Who', 'does', 'a', 'gender', 'pay', 'gap', 'tend', 'to', 'favor']",Who does a gender pay gap landscape no wait tend to favor,"['Who', 'does', 'a', 'gender', 'pay', 'gap', 'tend', 'to', 'favor']","['Who', 'does', 'a', 'gender', 'pay', 'gap', 'landscape', 'no', 'wait', 'tend', 'to', 'favor']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,2,N/A
Besides drugs what else do specialty pharmacies provide,Besides drugs which or no I mean what else do specialty pharmacies provide,"['Besides', 'drugs', 'which', 'or', 'no', 'I', 'mean', 'what', 'else', 'do', 'specialty', 'pharmacies', 'provide']","['Besides', 'drugs', 'what', 'else', 'do', 'specialty', 'pharmacies', 'provide']",Besides drugs what else do specialty pharmacies offer wait a minute specialty pharmacies provide,"['Besides', 'drugs', 'what', 'else', 'do', 'specialty', 'pharmacies', 'provide']","['Besides', 'drugs', 'what', 'else', 'do', 'specialty', 'pharmacies', 'offer', 'wait', 'a', 'minute', 'specialty', 'pharmacies', 'provide']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,2,N/A
 What does colonialism and imperialism share,What other t is Imperialism synonymous with no no just tell me what colonialism and imperialism share in common,"['What', 'other', 't', 'is', 'Imperialism', 'synonymous', 'with', 'no', 'no', 'just', 'tell', 'me', 'what', 'colonialism', 'and', 'imperialism', 'share', 'in', 'common']","['What', 'does', 'colonialism', 'and', 'imperialism', 'share']",What do I meant What does colonialism and imperialism share,"['What', 'does', 'colonialism', 'and', 'imperialism', 'share']","['What', 'do', 'I', 'meant', 'What', 'does', 'colonialism', 'and', 'imperialism', 'share']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What doesnt private ownership create a situation of,What doesnt unearned property income create a situation of sorry about that I mean what doesnt private ownership create a situation of,"['What', 'doesnt', 'unearned', 'property', 'income', 'create', 'a', 'situation', 'of', 'sorry', 'about', 'that', 'I', 'mean', 'what', 'doesnt', 'private', 'ownership', 'create', 'a', 'situation', 'of']","['What', 'doesnt', 'private', 'ownership', 'create', 'a', 'situation', 'of']",What doesnt private ownership assign I mean private ownership create a situation of,"['What', 'doesnt', 'private', 'ownership', 'create', 'a', 'situation', 'of']","['What', 'doesnt', 'private', 'ownership', 'assign', 'I', 'mean', 'private', 'ownership', 'create', 'a', 'situation', 'of']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What did Thoreau believe about talking to police officers,What did Thoreau believe about talking to the activist community no it was actually the police officers,"['What', 'did', 'Thoreau', 'believe', 'about', 'talking', 'to', 'the', 'activist', 'community', 'no', 'it', 'was', 'actually', 'the', 'police', 'officers']","['What', 'did', 'Thoreau', 'believe', 'about', 'talking', 'to', 'police', 'officers']",What do wait a minute did Thoreau believe about talking to police officers,"['What', 'did', 'Thoreau', 'believe', 'about', 'talking', 'to', 'police', 'officers']","['What', 'do', 'wait', 'a', 'minute', 'did', 'Thoreau', 'believe', 'about', 'talking', 'to', 'police', 'officers']","['F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What museum preserves the memory of independence,Where can er what museum preserves the memory of independence,"['Where', 'can', 'er', 'what', 'museum', 'preserves', 'the', 'memory', 'of', 'independence']","['What', 'museum', 'preserves', 'the', 'memory', 'of', 'independence']",What museum preserve no wait What museum preserves the memory of independence,"['What', 'museum', 'preserves', 'the', 'memory', 'of', 'independence']","['What', 'museum', 'preserve', 'no', 'wait', 'What', 'museum', 'preserves', 'the', 'memory', 'of', 'independence']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Refineries process chemical power generation mills and manufacturing plants are under what sector of construction,Refineries process chemical power generation mills and manufacturing plants are under what category no sector of construction,"['Refineries', 'process', 'chemical', 'power', 'generation', 'mills', 'and', 'manufacturing', 'plants', 'are', 'under', 'what', 'category', 'no', 'sector', 'of', 'construction']","['Refineries', 'process', 'chemical', 'power', 'generation', 'mills', 'and', 'manufacturing', 'plants', 'are', 'under', 'what', 'sector', 'of', 'construction']",Refineries process chemical power generation mills and manufacturing plants be no i meant to say plants are under what sector of construction,"['Refineries', 'process', 'chemical', 'power', 'generation', 'mills', 'and', 'manufacturing', 'plants', 'are', 'under', 'what', 'sector', 'of', 'construction']","['Refineries', 'process', 'chemical', 'power', 'generation', 'mills', 'and', 'manufacturing', 'plants', 'be', 'no', 'i', 'meant', 'to', 'say', 'plants', 'are', 'under', 'what', 'sector', 'of', 'construction']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Which park is home to the Fresno Chafffee Zoo,Which park is home to the Shinzen Japanese Gardens no actually the Fresno Chaffee Zoo,"['Which', 'park', 'is', 'home', 'to', 'the', 'Shinzen', 'Japanese', 'Gardens', 'no', 'actually', 'the', 'Fresno', 'Chaffee', 'Zoo']","['Which', 'park', 'is', 'home', 'to', 'the', 'Fresno', 'Chafffee', 'Zoo']",Which park is accommodate no is home to the Fresno Chafffee Zoo,"['Which', 'park', 'is', 'home', 'to', 'the', 'Fresno', 'Chafffee', 'Zoo']","['Which', 'park', 'is', 'accommodate', 'no', 'is', 'home', 'to', 'the', 'Fresno', 'Chafffee', 'Zoo']","['F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What is an example of major civil disobedience in South Africa,How was the occupation no what is an example of major civil disobedience in South Africa,"['How', 'was', 'the', 'occupation', 'no', 'what', 'is', 'an', 'example', 'of', 'major', 'civil', 'disobedience', 'in', 'South', 'Africa']","['What', 'is', 'an', 'example', 'of', 'major', 'civil', 'disobedience', 'in', 'South', 'Africa']",What be actually no is an example of major civil disobedience in South Africa,"['What', 'is', 'an', 'example', 'of', 'major', 'civil', 'disobedience', 'in', 'South', 'Africa']","['What', 'be', 'actually', 'no', 'is', 'an', 'example', 'of', 'major', 'civil', 'disobedience', 'in', 'South', 'Africa']","['F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
 When did Great Britain gain its colonies in North America,When did Spain no Great Britain gain its colonies in North America,"['When', 'did', 'Spain', 'no', 'Great', 'Britain', 'gain', 'its', 'colonies', 'in', 'North', 'America']","['When', 'did', 'Great', 'Britain', 'gain', 'its', 'colonies', 'in', 'North', 'America']",When did Great Britain obtain I mean Britain gain its colonies in North America,"['When', 'did', 'Great', 'Britain', 'gain', 'its', 'colonies', 'in', 'North', 'America']","['When', 'did', 'Great', 'Britain', 'obtain', 'I', 'mean', 'Britain', 'gain', 'its', 'colonies', 'in', 'North', 'America']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
When did tides and currents similar to our current system begin,At what rate no I mean when did tides and currents similar to our current system begin,"['At', 'what', 'rate', 'no', 'I', 'mean', 'when', 'did', 'tides', 'and', 'currents', 'similar', 'to', 'our', 'current', 'system', 'begin']","['When', 'did', 'tides', 'and', 'currents', 'similar', 'to', 'our', 'current', 'system', 'begin']",When do I am sorry did tides and currents similar to our current system begin,"['When', 'did', 'tides', 'and', 'currents', 'similar', 'to', 'our', 'current', 'system', 'begin']","['When', 'do', 'I', 'am', 'sorry', 'did', 'tides', 'and', 'currents', 'similar', 'to', 'our', 'current', 'system', 'begin']","['F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What is grey literature,What organization no i meant to say what is grey literature,"['What', 'organization', 'no', 'i', 'meant', 'to', 'say', 'what', 'is', 'grey', 'literature']","['What', 'is', 'grey', 'literature']",What be actually no is grey literature,"['What', 'is', 'grey', 'literature']","['What', 'be', 'actually', 'no', 'is', 'grey', 'literature']","['F', 'D', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,2,N/A
Which timeline is the most accurate,Which timeline is the fourth scale no the most accurate,"['Which', 'timeline', 'is', 'the', 'fourth', 'scale', 'no', 'the', 'most', 'accurate']","['Which', 'timeline', 'is', 'the', 'most', 'accurate']",Which timeline be wait is the most accurate,"['Which', 'timeline', 'is', 'the', 'most', 'accurate']","['Which', 'timeline', 'be', 'wait', 'is', 'the', 'most', 'accurate']","['F', 'F', 'D', 'D', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What is a virtual connection,Which is a no make that what is a virtual connection,"['Which', 'is', 'a', 'no', 'make', 'that', 'what', 'is', 'a', 'virtual', 'connection']","['What', 'is', 'a', 'virtual', 'connection']",What be wait a minute What is a virtual connection,"['What', 'is', 'a', 'virtual', 'connection']","['What', 'be', 'wait', 'a', 'minute', 'What', 'is', 'a', 'virtual', 'connection']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What cell type is also used for immune response in most types of invertebrate life,What are the well actually what cell type is also used for immune response in most types of invertebrate life,"['What', 'are', 'the', 'well', 'actually', 'what', 'cell', 'type', 'is', 'also', 'used', 'for', 'immune', 'response', 'in', 'most', 'types', 'of', 'invertebrate', 'life']","['What', 'cell', 'type', 'is', 'also', 'used', 'for', 'immune', 'response', 'in', 'most', 'types', 'of', 'invertebrate', 'life']",What cell type is also use I mean is also used for immune response in most types of invertebrate life,"['What', 'cell', 'type', 'is', 'also', 'used', 'for', 'immune', 'response', 'in', 'most', 'types', 'of', 'invertebrate', 'life']","['What', 'cell', 'type', 'is', 'also', 'use', 'I', 'mean', 'is', 'also', 'used', 'for', 'immune', 'response', 'in', 'most', 'types', 'of', 'invertebrate', 'life']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
When did Napoleon die,When did Louis XIV sorry I meant to say Napoleon when did he die,"['When', 'did', 'Louis', 'XIV', 'sorry', 'I', 'meant', 'to', 'say', 'Napoleon', 'when', 'did', 'he', 'die']","['When', 'did', 'Napoleon', 'die']",When come well I actually mean When did Napoleon die,"['When', 'did', 'Napoleon', 'die']","['When', 'come', 'well', 'I', 'actually', 'mean', 'When', 'did', 'Napoleon', 'die']","['D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
DECnet II protocols were designed by who,What evolved into a sevenlayer OSIcompliant networking protocol really the DECnet II protocols were designed by who,"['What', 'evolved', 'into', 'a', 'sevenlayer', 'OSIcompliant', 'networking', 'protocol', 'really', 'the', 'DECnet', 'II', 'protocols', 'were', 'designed', 'by', 'who']","['DECnet', 'II', 'protocols', 'were', 'designed', 'by', 'who']",DECnet II protocols abound I am sorry protocols were designed by who,"['DECnet', 'II', 'protocols', 'were', 'designed', 'by', 'who']","['DECnet', 'II', 'protocols', 'abound', 'I', 'am', 'sorry', 'protocols', 'were', 'designed', 'by', 'who']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
 Who stated he did not want Israel to vanish,When no sorry Who stated he did not want Israel to vanish,"['When', 'no', 'sorry', 'Who', 'stated', 'he', 'did', 'not', 'want', 'Israel', 'to', 'vanish']","['Who', 'stated', 'he', 'did', 'not', 'want', 'Israel', 'to', 'vanish']",Who stated he did not expect I am sorry not want Israel to vanish,"['Who', 'stated', 'he', 'did', 'not', 'want', 'Israel', 'to', 'vanish']","['Who', 'stated', 'he', 'did', 'not', 'expect', 'I', 'am', 'sorry', 'not', 'want', 'Israel', 'to', 'vanish']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What do toxins that fail to enter an organism encounter,What do microbes no instead toxins that fail to enter an organism encounter,"['What', 'do', 'microbes', 'no', 'instead', 'toxins', 'that', 'fail', 'to', 'enter', 'an', 'organism', 'encounter']","['What', 'do', 'toxins', 'that', 'fail', 'to', 'enter', 'an', 'organism', 'encounter']",What do toxins that fail to amerce well I actually mean enter an organism encounter,"['What', 'do', 'toxins', 'that', 'fail', 'to', 'enter', 'an', 'organism', 'encounter']","['What', 'do', 'toxins', 'that', 'fail', 'to', 'amerce', 'well', 'I', 'actually', 'mean', 'enter', 'an', 'organism', 'encounter']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Who did Gegeen appoint as grand chancellor,How no who did Gegeen appoint as grand chancellor,"['How', 'no', 'who', 'did', 'Gegeen', 'appoint', 'as', 'grand', 'chancellor']","['Who', 'did', 'Gegeen', 'appoint', 'as', 'grand', 'chancellor']",Who do wait Who did Gegeen appoint as grand chancellor,"['Who', 'did', 'Gegeen', 'appoint', 'as', 'grand', 'chancellor']","['Who', 'do', 'wait', 'Who', 'did', 'Gegeen', 'appoint', 'as', 'grand', 'chancellor']","['D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What political response was convening in JuneJuly 1754,What political response was formalized no was convening in JuneJuly 1754,"['What', 'political', 'response', 'was', 'formalized', 'no', 'was', 'convening', 'in', 'JuneJuly', '1754']","['What', 'political', 'response', 'was', 'convening', 'in', 'JuneJuly', '1754']",What political response was convene wait was convening in JuneJuly 1754,"['What', 'political', 'response', 'was', 'convening', 'in', 'JuneJuly', '1754']","['What', 'political', 'response', 'was', 'convene', 'wait', 'was', 'convening', 'in', 'JuneJuly', '1754']","['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
